# CAUTION: SPARC bulge-disk decompositions are non-parameteric.
# Bulges are linearly extrapolated in the outer regions.
# Thus, total luminosities should be taken with a grain of salt.
# Results may significantly differ using "standard" parametric
# fits with a De Vaucouleurs bulge and an exponential disk.
#
# Galaxy 	Lbul (10^9 Lsun)
CamB		0.0
D512-2		0.0
D564-8		0.0
D631-7		0.0
DDO064		0.0
DDO154		0.0
DDO161		0.0
DDO168		0.0
DDO170		0.0
ESO079-G014	0.0
ESO116-G012	0.0
ESO444-G084	0.0
ESO563-G021	0.0
F561-1		0.0
F563-1		0.0
F563-V1		0.0
F563-V2		0.0
F565-V2		0.0
F567-2		0.0
F568-1		0.0
F568-3		0.0
F568-V1		0.0
F571-8		0.0
F571-V1		0.0
F574-1		0.0
F574-2		0.0
F579-V1		0.0
F583-1		0.0
F583-4		0.0
IC2574		0.0
IC4202		37.3623
KK98-251	0.0
NGC0024		0.0
NGC0055		0.0
NGC0100		0.0
NGC0247		0.0
NGC0289		0.0
NGC0300		0.0
NGC0801		0.0
NGC0891		18.8773
NGC1003		0.0
NGC1090		0.0
NGC1705		0.0
NGC2366		0.0
NGC2403		0.0
NGC2683		5.3862
NGC2841		46.0617
NGC2903		0.0
NGC2915		0.0
NGC2955		71.0188
NGC2976		0.0
NGC2998		0.0
NGC3109		0.0
NGC3198		0.0
NGC3521		0.0
NGC3726		0.0
NGC3741		0.0
NGC3769		0.0
NGC3877		0.0
NGC3893		0.0
NGC3917		0.0
NGC3949		0.0
NGC3953		0.0
NGC3972		0.0
NGC3992		0.0
NGC4010		0.0
NGC4013		15.3853
NGC4051		0.0
NGC4068		0.0
NGC4085		0.0
NGC4088		0.0
NGC4100		0.0
NGC4138		8.4683
NGC4157		2.0135
NGC4183		0.0
NGC4214		0.0
NGC4217		68.306
NGC4389		0.0
NGC4559		0.0
NGC5005		20.7589
NGC5033		25.1581
NGC5055		0.0
NGC5371		0.0
NGC5585		0.0
NGC5907		0.0
NGC5985		10.1541
NGC6015		0.0
NGC6195		104.582
NGC6503		0.0
NGC6674		17.2096
NGC6789		0.0
NGC6946		4.102
NGC7331		11.5982
NGC7793		0.0
NGC7814		50.402
PGC51017	0.0
UGC00128	0.0
UGC00191	0.0
UGC00634	0.0
UGC00731	0.0
UGC00891	0.0
UGC01230	0.0
UGC01281	0.0
UGC02023	0.0
UGC02259	0.0
UGC02455	0.0
UGC02487	106.2097
UGC02885	48.6748
UGC02916	71.6319
UGC02953	30.1421
UGC03205	17.3472
UGC03546	27.3457
UGC03580	3.237
UGC04278	0.0
UGC04305	0.0
UGC04325	0.0
UGC04483	0.0
UGC04499	0.0
UGC05005	0.0
UGC05253	65.5084
UGC05414	0.0
UGC05716	0.0
UGC05721	0.0
UGC05750	0.0
UGC05764	0.0
UGC05829	0.0
UGC05918	0.0
UGC05986	0.0
UGC05999	0.0
UGC06399	0.0
UGC06446	0.0
UGC06614	66.6549
UGC06628	0.0
UGC06667	0.0
UGC06786	18.8497
UGC06787	47.8054
UGC06818	0.0
UGC06917	0.0
UGC06923	0.0
UGC06930	0.0
UGC06973	7.3044
UGC06983	0.0
UGC07089	0.0
UGC07125	0.0
UGC07151	0.0
UGC07232	0.0
UGC07261	0.0
UGC07323	0.0
UGC07399	0.0
UGC07524	0.0
UGC07559	0.0
UGC07577	0.0
UGC07603	0.0
UGC07608	0.0
UGC07690	0.0
UGC07866	0.0
UGC08286	0.0
UGC08490	0.0
UGC08550	0.0
UGC08699	14.6855
UGC08837	0.0
UGC09037	0.0
UGC09133	80.5147
UGC09992	0.0
UGC10310	0.0
UGC11455	0.0
UGC11557	0.0
UGC11820	0.0
UGC11914	37.1578
UGC12506	0.0
UGC12632	0.0
UGC12732	0.0
UGCA281		0.0
UGCA442		0.0
UGCA444		0.0
