Title: The relation between stellar and dynamical surface densities in the
central regions of disk galaxies
Authors: Federico Lelli, Stacy McGaugh, James Schombert, and Marcel Pawlowski
Table: Data behind Figure 2
================================================================================
Byte-by-byte Description of file: DbF.Figure2.mrt
--------------------------------------------------------------------------------
   Bytes Format Units           Label       Explanations
--------------------------------------------------------------------------------
   1- 11 A11    ---             Name        Galaxy Name
  13- 14 I2     ---             Type        Numerical Hubble Type
  16- 20 F5.2   [solMass/pc2]   log(Sdyn)   Dynamical surface density (1)
  22- 26 F5.2   [solMass/pc2] e_log(Sdyn)   Mean error on log(Sdyn)
  28- 32 F5.2   [solMass/pc2]   log(Sstar)  Stellar surface density (2)
  34- 38 F5.2   [solMass/pc2] e_log(Sstar)  Mean error on log(Sstar)
  40- 44 F5.2   [solMass]       log(Mstar)  Log of the stellar mass
  46- 50 F5.2   [solMass]     e_log(Mstar)  Mean error on log(Mstar)
--------------------------------------------------------------------------------
Note (1): Estimated at R=0 using Equation 16 of Toomre, A. 1963, ApJ, 138, 385
Note (2): Estimated at R=0 using Spitzer photometry at 3.6 um and assuming
          M/L=0.5 and M/L=0.7 for disk and bulge components, respectively.
--------------------------------------------------------------------------------
CamB 10  1.07  0.11  0.74  0.14  7.57  0.13 
D512-2 10  1.68  0.18  1.15  0.16  8.21  0.28 
D564-8 10  1.38  0.10  0.39  0.15  7.22  0.12 
D631-7 10  1.79  0.06  1.08  0.11  7.99  0.11 
DDO064 10  2.02  0.19  1.23  0.13  7.89  0.28 
DDO154 10  1.86  0.07  0.75  0.12  7.42  0.12 
DDO161 10  1.88  0.15  1.20  0.23  8.44  0.28 
DDO168 10  1.96  0.09  1.16  0.14  7.98  0.12 
DDO170 10  1.70  0.15  0.94  0.16  8.43  0.28 
ESO079-G014  4  2.65  0.15  2.55  0.22 10.41  0.24 
ESO116-G012  7  2.51  0.14  2.20  0.13  9.33  0.28 
ESO444-G084 10  2.32  0.16  1.20  0.11  7.55  0.14 
ESO563-G021  4  3.03  0.10  2.82  0.21 11.19  0.17 
F565-V2 10  1.85  0.16  0.81  0.17  8.45  0.22 
F568-3  7  2.09  0.20  1.83  0.13  9.62  0.14 
F568-V1  7  2.45  0.29  1.65  0.13  9.28  0.15 
F571-8  5  2.50  0.11  2.32  0.45  9.71  0.21 
F571-V1  7  1.87  0.28  1.16  0.12  8.97  0.15 
F574-1  7  2.23  0.10  1.67  0.20  9.51  0.14 
F583-1  9  2.09  0.25  1.16  0.13  8.69  0.25 
F583-4  5  2.06  0.17  1.15  0.15  8.93  0.21 
IC2574  9  1.55  0.05  0.92  0.23  8.71  0.12 
KK98-251 10  1.52  0.15  1.01  0.13  7.63  0.28 
NGC0024  5  2.77  0.06  2.55  0.12  9.29  0.12 
NGC0055  9  2.02  0.05  2.08  0.15  9.36  0.12 
NGC0247  7  2.24  0.04  1.69  0.13  9.56  0.12 
NGC0289  4  3.21  0.16  3.06  0.12 10.56  0.24 
NGC0300  7  2.28  0.17  2.10  0.13  9.16  0.12 
NGC0801  5  3.28  0.08  2.98  0.12 11.19  0.14 
NGC1003  6  2.35  0.15  2.16  0.14  9.53  0.28 
NGC1090  4  2.78  0.13  2.88  0.12 10.56  0.24 
NGC2403  6  2.98  0.05  2.65  0.12  9.70  0.12 
NGC2683  3  2.99  0.06  2.67  0.24 10.62  0.12 
NGC2841  3  3.40  0.09  3.03  0.32 11.01  0.14 
NGC2903  4  3.32  0.14  3.65  0.12 10.61  0.28 
NGC2915 11  2.36  0.10  2.38  0.12  8.51  0.12 
NGC2955  3  3.65  0.11  3.70  0.13 11.24  0.14 
NGC2976  5  2.41  0.10  2.51  0.17  9.23  0.12 
NGC2998  5  3.43  0.13  3.00  0.11 10.88  0.17 
